"I&M Bank Limited
M-PESA COLLECTIONS REPORT FOR: 00****9894****
ACCOUNT NAME: STAR OPTICS LIMITED",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TRANSACTION DATE,TRANSACTION TIME,MPESA TRANS REFNUMBER,TRANS AMOUNT,DEPOSIT ACCOUNT,BANK TRANS REF NUMBER,M-PESA SHORT CODE,PAYER MOBILE,PAYER NAME
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
01/01/2026,12:44:10,UD06I41UTDA,200,1.01199E+11,S794553,921100,2.55E+11,FA**** MO***
01/01/2026,15:04:18,UDUDBZ8ZROW,400,1.01199E+11,S507625,921192,2.55E+11,FA**** MO***
02/01/2026,12:06:56,UDLXDAXX97G,500,1.01199E+11,S658670,921100,2.55E+11,NO**** AB***
02/01/2026,12:10:41,UDBCWXVN5FW,2500,1.01199E+11,S719010,921192,2.55E+11,HA**** IS***
02/01/2026,13:15:13,UDDUPS5B9GT,2000,1.01199E+11,S707276,921192,2.55E+11,MU**** AL***
03/01/2026,10:48:39,UDWDZZWXP92,1200,1.01199E+11,S535639,921192,2.55E+11,AL**** OM**
03/01/2026,09:36:44,UDC4LHFC3D2,5000,1.01199E+11,S753655,921100,2.55E+11,AL**** OM**
04/01/2026,08:59:38,UD2YPLP85JM,1000,1.01199E+11,S775315,921100,2.55E+11,NO**** AB***
04/01/2026,11:48:25,UDGNQGT5E7V,800,1.01199E+11,S626386,921192,2.55E+11,AL**** OM**
04/01/2026,15:52:59,UDW8REVE25O,300,1.01199E+11,S603155,921192,2.55E+11,AL**** OM**
05/01/2026,13:37:40,UD83RTVJTHX,8000,1.01199E+11,S573705,921100,2.55E+11,MU**** AL***
05/01/2026,11:18:31,UDGYLG8JKXT,1200,1.01199E+11,S721659,921192,2.55E+11,OM**** YO***
05/01/2026,13:56:35,UDNVVQ51TLX,1000,1.01199E+11,S747277,921100,2.55E+11,SA**** AH***
06/01/2026,16:16:32,UDNMH4IHHSI,4000,1.01199E+11,S679223,921100,2.55E+11,OM**** YO***
07/01/2026,08:08:27,UDTA9ON4T7Q,1200,1.01199E+11,S640955,921100,2.55E+11,ZA**** HU***
08/01/2026,14:40:59,UDB4BOKX9YO,1500,1.01199E+11,S776190,921100,2.55E+11,SA**** AH***
09/01/2026,11:41:27,UDM37D255EA,500,1.01199E+11,S684774,921192,2.55E+11,NO**** AB***
09/01/2026,11:47:21,UDUX96K6SI0,400,1.01199E+11,S537506,921192,2.55E+11,HA**** IS***
10/01/2026,12:57:51,UD81JX2MR96,500,1.01199E+11,S726583,921192,2.55E+11,OM**** YO***
10/01/2026,11:14:24,UDQFC004WTG,1000,1.01199E+11,S501718,921192,2.55E+11,NO**** AB***
11/01/2026,16:17:46,UDPYMTLMOZL,1500,1.01199E+11,S668585,921100,2.55E+11,ZA**** HU***
11/01/2026,14:57:16,UDPXO68JR44,400,1.01199E+11,S512516,921100,2.55E+11,AL**** OM**
12/01/2026,08:42:08,UDXQ75VUDXA,8000,1.01199E+11,S761181,921100,2.55E+11,HA**** IS***
